iter	Passed	Remaining
321	538	1133
322	539	1131
323	540	1128
324	541	1125
325	542	1122
326	543	1119
327	544	1116
328	545	1113
329	546	1110
330	547	1107
331	549	1104
332	550	1102
333	551	1099
334	552	1096
335	553	1093
336	554	1090
337	555	1087
338	556	1085
339	557	1082
340	558	1079
341	559	1076
342	560	1073
343	561	1070
344	562	1068
345	564	1066
346	565	1063
347	566	1061
348	567	1059
349	569	1056
350	570	1054
351	571	1051
352	572	1049
353	573	1047
354	575	1045
355	576	1043
356	578	1041
357	579	1039
358	580	1037
359	582	1034
360	583	1032
361	584	1030
362	587	1030
363	588	1028
364	589	1026
365	590	1023
366	592	1021
367	593	1019
368	594	1016
369	596	1015
370	597	1013
371	599	1011
372	600	1009
373	601	1006
374	603	1005
375	604	1003
376	605	1000
377	607	999
378	609	998
379	610	996
380	612	994
381	614	993
382	615	991
383	616	989
384	618	987
385	619	985
386	620	983
387	622	981
388	623	979
389	624	977
390	625	975
391	627	973
392	628	971
393	630	969
394	631	966
395	632	964
396	633	961
397	634	960
398	635	957
399	636	955
400	638	953
401	639	951
402	640	949
403	641	947
404	643	944
405	643	942
406	645	939
407	646	937
408	647	935
409	648	933
410	649	931
411	650	928
412	652	926
413	653	925
414	654	922
415	655	920
416	657	918
417	658	916
418	659	914
419	660	912
420	662	910
421	663	908
422	664	906
423	665	904
424	666	902
425	668	900
426	669	897
427	670	895
428	671	893
429	672	891
430	674	890
431	675	888
432	676	886
433	678	884
434	679	882
435	680	880
436	681	878
437	683	876
438	684	874
439	685	872
440	686	870
441	687	868
442	689	866
443	690	864
444	691	862
445	693	860
446	694	858
447	695	857
448	696	855
449	698	853
450	699	851
451	700	849
452	701	847
453	703	845
454	704	843
455	705	841
456	707	840
457	708	837
458	709	836
459	710	834
460	711	832
461	713	830
462	714	828
463	715	826
464	716	824
465	718	822
466	719	820
467	720	819
